post_id,dirigente_id,dirigente_nombre,tono_claude,target_claude,sentimiento_claude,razon_claude
4523,2,Rafael Solano Pérez,solidario,ciudadania,positivo,"Mensaje empático: 'ojalá les vaya bien, han vivido condiciones terribles'"
898,2,Rafael Solano Pérez,personal,tema_especifico,positivo,"Comentario futbolero sobre Gignac"
882,2,Rafael Solano Pérez,solidario,ciudadania,positivo,"RT sobre mujeres en resistencia y madres vs violencia vicaria"
903,2,Rafael Solano Pérez,informativo,tema_especifico,negativo,"RT sobre datos de pobreza laboral CEEY"
833,2,Rafael Solano Pérez,informativo,tema_especifico,neutro,"RT noticia internacional sobre Orban Hungría"
856,2,Rafael Solano Pérez,critico,gobierno,negativo,"RT sobre derrame petrolero como crisis de transparencia gubernamental"
878,2,Rafael Solano Pérez,informativo,tema_especifico,neutro,"RT con desglose de votación reforma electoral"
919,2,Rafael Solano Pérez,critico,oposicion,negativo,"Ironía hacia PAN: 'tuvo más de una década para entender bases del sistema'"
852,2,Rafael Solano Pérez,celebratorio,tema_especifico,positivo,"Celebra a la afición mexicana como anfitriona en partido"
868,2,Rafael Solano Pérez,critico,gobierno,negativo,"Análisis V-Dem: 'cayeron años de la democracia mexicana, autocracia competitiva'"
912,2,Rafael Solano Pérez,propositivo,tema_especifico,neutro,"Propone que organizaciones ciudadanas exijan iniciativas a partidos"
4516,2,Rafael Solano Pérez,informativo,tema_especifico,neutro,"Comentario corto sobre escenario electoral"
883,2,Rafael Solano Pérez,critico,gobierno,negativo,"Análisis crítico al modelo Morena de 'coordinador/candidato' campaña 1 año"
4459,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,"Lenguaje fuerte: 'huevones', 'duermen', 'realitys', 'simulación'"
4427,8,Laura Ballesteros Mancilla,personal,tema_especifico,positivo,"Felicitación Día de la Niñez, hijo Emilio, mensaje familiar"
4204,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,"Crítica a CNDH/Rosario Piedra por omisiones"
4242,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,"Celebra logro Ley Eugenito (defensa árboles/medio ambiente)"
4385,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,"Exige renuncia Rosario Piedra: 'CNDH no puede ser cómplice'"
4395,8,Laura Ballesteros Mancilla,propositivo,tema_especifico,neutro,"Anuncia trabajo legislativo sobre transporte público"
4452,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,"Crítica al Legislativo + propuesta 40 horas + juicios contra R. Piedra"
4243,8,Laura Ballesteros Mancilla,informativo,gobierno,negativo,"RT sobre solicitud formal juicio político contra Rosario Piedra"
4227,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,"RT mensaje cálido sobre trabajo en equipo en MC"
4255,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,"Exige juicio político: 'no se puede ser omisa frente al dolor'"
4888,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,"Lenguaje fuerte: 'diputados webones', 'milagro de Pascua' irónico"
4228,8,Laura Ballesteros Mancilla,propositivo,ciudadania,negativo,"Convoca a vecinos a organizarse ante poda irregular"
4474,8,Laura Ballesteros Mancilla,propositivo,tema_especifico,negativo,"Argumento histórico (1970) para 40 horas y 2 días descanso"
4304,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,"Crítica a Sheinbaum por retroceso en compromiso anti-fracking"
4305,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,"CNDH 'inexistente, parte del problema'; juicio político"
4426,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,"Caso Edith Guadalupe: 'sistema corrupto y cómplice', exige reforma Fiscalías"
4301,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,"Crítica a Morena: 87% inversión en fósiles, 140 mil firmas anti-fracking"
4041,8,Laura Ballesteros Mancilla,propositivo,tema_especifico,negativo,"5-6 días personales y #40HorasAhora con 2 días descanso"
4225,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,"Crítica al Metro CDMX: inversión insuficiente, parches por sexenio"
4077,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,"Frase dura: 'es mentir con todas sus letras'"
